,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
13,2021-08-19,sh.600016,89.2048442800,89.2048442800,88.3216280000,88.5424320700,89.2048442800,59157321,237525476.7500,1,0.166800,1,-0.742600,5.417747,0.369379,0.982526,9.738601,0
14,2021-08-20,sh.600016,88.5424320700,88.9840402100,88.3216280000,88.5424320700,88.5424320700,69231767,277917267.9600,1,0.195200,1,0.000000,5.417747,0.369379,0.982526,9.738601,0
15,2021-08-23,sh.600016,88.5424320700,88.7632361400,88.3216280000,88.3216280000,88.5424320700,51712085,207418100.0000,1,0.145800,1,-0.249400,5.404236,0.368457,0.980075,9.714315,0
16,2021-08-24,sh.600016,88.3216280000,88.7632361400,87.8800198600,88.3216280000,88.3216280000,74109796,296298795.2100,1,0.209000,1,0.000000,5.404236,0.368457,0.980075,9.714315,0
17,2021-08-25,sh.600016,88.5424320700,88.5424320700,88.1008239300,88.1008239300,88.3216280000,47071926,188067849.9400,1,0.132700,1,-0.250000,5.390725,0.367536,0.977625,9.690029,0
18,2021-08-26,sh.600016,88.1008239300,88.3216280000,87.8800198600,87.8800198600,88.1008239300,46489789,185234607.8600,1,0.131100,1,-0.250600,5.377215,0.366615,0.975175,9.665744,0
19,2021-08-27,sh.600016,87.8800198600,88.3216280000,87.8800198600,88.1008239300,87.8800198600,47670260,190148104.8000,1,0.134400,1,0.251300,5.390725,0.367536,0.977625,9.690029,0
20,2021-08-30,sh.600016,87.8800198600,88.1008239300,86.9968035800,87.2176076500,88.1008239300,93439311,369937069.4000,1,0.263500,1,-1.002500,5.335695,0.363641,0.990394,1.259655,0
21,2021-08-31,sh.600016,87.2176076500,87.8800198600,86.9968035800,87.6592157900,87.2176076500,77894545,308119148.2200,1,0.219700,1,0.506300,5.362711,0.365483,0.995408,1.266033,0
0,2021-08-02,sh.600018,71.4437373000,73.7577045000,71.1544914000,73.3238356500,71.2991143500,46727462,234863389.9500,1,0.201600,1,2.839800,12.301867,1.307169,4.154824,35.989285,0
1,2021-08-03,sh.600018,72.7453438500,73.4684586000,72.1668520500,73.0345897500,73.3238356500,36296475,182892409.8600,1,0.156600,1,-0.394500,12.253339,1.302013,4.138434,35.847316,0
2,2021-08-04,sh.600018,73.0345897500,73.4684586000,72.1668520500,72.7453438500,73.0345897500,30322935,152517896.0400,1,0.130900,1,-0.396000,12.204811,1.296856,4.122044,35.705346,0
3,2021-08-05,sh.600018,72.7453438500,73.4684586000,72.4560979500,73.0345897500,72.7453438500,29535123,149248336.0300,1,0.127500,1,0.397600,12.253339,1.302013,4.138434,35.847316,0
4,2021-08-06,sh.600018,73.0345897500,73.3238356500,72.0222291000,72.3114750000,73.0345897500,22925558,114915877.5400,1,0.098900,1,-0.990100,12.132019,1.289122,4.097459,35.492392,0
5,2021-08-09,sh.600018,72.0222291000,74.4808192500,71.4437373000,73.9023274500,72.3114750000,33293807,169442658.3300,1,0.143700,1,2.200000,12.398923,1.317482,4.187603,36.273224,0
